0,92,67
1,91,68
2,63,73
3,63,73
4,93,66
5,55,75
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,56,76
14,56,76
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,69,71
32,69,71
33,69,71
34,69,71
35,102,54
36,102,54
37,69,70
38,69,71
39,100,54
40,75,68
41,98,54
42,96,55
43,92,55
44,78,65
45,85,59
46,84,61
47,79,61
48,77,62
49,68,69
50,67,69
51,67,69
52,66,70
53,64,72
54,55,68
55,54,69
56,67,71
57,68,71
58,68,71
59,68,71
60,69,71
61,69,71
62,69,71
63,69,71
64,69,71
65,69,71
66,69,71
67,66,70
68,69,71
69,67,73
70,67,73
71,65,66
72,69,65
73,68,75
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,74,68
91,74,68
92,117,48
93,117,47
94,74,71
95,74,71
96,74,71
97,74,71
98,74,71
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,71,66
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,66,69
138,77,47
139,62,71
140,80,48
141,80,48
142,81,49
143,67,66
144,83,49
145,68,68
146,85,49
147,85,49
148,85,49
149,65,69
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,64,70
162,64,71
163,64,71
164,84,52
165,85,52
166,86,53
167,86,54
168,67,69
169,87,56
170,87,55
171,87,59
172,87,58
173,64,71
174,64,71
175,89,61
176,88,61
177,64,72
178,64,72
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,71,72
186,97,61
187,69,68
188,69,69
189,70,69
190,106,66
191,66,70
192,110,71
193,111,71
194,58,75
195,58,75
196,59,75
197,59,75
198,60,75
199,60,75
200,62,76
201,51,78
202,51,78
203,51,78
204,52,78
205,52,77
206,46,77
207,46,77
208,46,76
209,46,76
210,45,76
211,44,76
212,43,76
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,79,67
234,79,67
235,80,67
236,80,68
237,80,68
238,81,68
239,98,68
240,68,68
241,68,68
242,68,68
243,69,68
244,69,68
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
